method,label,split,pool_size,recall@1,recall@5,recall@10,mrr,mean_rank,match_precision,match_coverage,spatial_consistency,queries
appearance,Appearance,clean,12,0.55,1.0,1.0,0.7216666666666667,1.85,0.41875,1.0,0.5802014647585638,40
appearance,Appearance,season,12,0.425,1.0,1.0,0.6495833333333334,2.05,0.4046875,1.0,0.5677196962666897,40
appearance,Appearance,weather,12,0.45,1.0,1.0,0.6875,1.8,0.4203125,1.0,0.5847221029293437,40
appearance,Appearance,illumination,12,0.475,1.0,1.0,0.68625,1.9,0.4140625,1.0,0.5755751854898887,40
appearance,Appearance,sensor,12,0.5,1.0,1.0,0.6966666666666667,1.9,0.4296875,1.0,0.5871094639856235,40
appearance,Appearance,partial,12,0.45,1.0,1.0,0.6674999999999999,1.95,0.425,1.0,0.5840764754881004,40
geometry,+ Geometry,clean,12,0.65,1.0,1.0,0.8041666666666668,1.5,0.9833447802197803,0.865625,0.9896736907683825,40
geometry,+ Geometry,season,12,0.625,1.0,1.0,0.7874999999999999,1.55,0.9725503663003664,0.8546875,0.9837051318165375,40
geometry,+ Geometry,weather,12,0.8,1.0,1.0,0.8791666666666667,1.35,0.9841117216117216,0.865625,0.9902527930964837,40
geometry,+ Geometry,illumination,12,0.8,1.0,1.0,0.8875,1.275,0.9774496336996338,0.859375,0.9855952471226918,40
geometry,+ Geometry,sensor,12,0.725,1.0,1.0,0.8395833333333332,1.425,0.9752518315018316,0.8734375,0.9853834890762959,40
geometry,+ Geometry,partial,12,0.725,1.0,1.0,0.8416666666666668,1.425,0.9904578754578754,0.8625,0.9931736950692152,40
semantic,+ Text Anchors,clean,12,0.725,1.0,1.0,0.8520833333333332,1.35,0.9821366133866134,0.8625,0.9877163782296838,40
semantic,+ Text Anchors,season,12,0.75,1.0,1.0,0.8666666666666666,1.3,0.9865155677655679,0.8484375,0.9918120800211337,40
semantic,+ Text Anchors,weather,12,0.575,1.0,1.0,0.7645833333333334,1.575,0.97123001998002,0.86875,0.9814267861411146,40
semantic,+ Text Anchors,illumination,12,0.675,1.0,1.0,0.8333333333333333,1.35,0.9821137196137195,0.878125,0.9879167739878383,40
semantic,+ Text Anchors,sensor,12,0.75,1.0,1.0,0.8541666666666667,1.375,0.981742216117216,0.865625,0.9882347539740269,40
semantic,+ Text Anchors,partial,12,0.75,1.0,1.0,0.8666666666666668,1.3,0.9831776556776557,0.878125,0.9892918157743965,40
map,+ Vector Map,clean,12,0.725,1.0,1.0,0.8520833333333332,1.35,0.998076923076923,0.93125,0.9985838406502225,40
map,+ Vector Map,season,12,0.75,1.0,1.0,0.8625,1.325,0.998076923076923,0.928125,0.9985838406502225,40
map,+ Vector Map,weather,12,0.625,1.0,1.0,0.8,1.45,0.9966666666666667,0.9375,0.9975453237937192,40
map,+ Vector Map,illumination,12,0.75,1.0,1.0,0.8583333333333332,1.375,0.998076923076923,0.940625,0.9985838406502225,40
map,+ Vector Map,sensor,12,0.825,1.0,1.0,0.8958333333333333,1.275,0.9983333333333334,0.9265625,0.9987726618968595,40
map,+ Vector Map,partial,12,0.75,1.0,1.0,0.8645833333333333,1.325,1.0,0.928125,1.0,40
game,GAME-Style,clean,12,0.65,1.0,1.0,0.8125,1.425,0.9845221445221446,0.8796875,0.9894877635166213,40
game,GAME-Style,season,12,0.75,1.0,1.0,0.8666666666666666,1.3,0.9807858807858807,0.865625,0.9865157833842332,40
game,GAME-Style,weather,12,0.5,1.0,1.0,0.7416666666666666,1.55,0.9767834249084248,0.8828125,0.9847693043347003,40
game,GAME-Style,illumination,12,0.775,1.0,1.0,0.8708333333333332,1.325,0.9785164835164835,0.875,0.9852505133971224,40
game,GAME-Style,sensor,12,0.75,1.0,1.0,0.8583333333333332,1.35,0.9857783882783883,0.89375,0.98972770731809,40
game,GAME-Style,partial,12,0.75,1.0,1.0,0.8666666666666666,1.3,0.9892261904761905,0.89375,0.9930097486925582,40
full,Full LGM-GAME,clean,12,0.725,1.0,1.0,0.8583333333333332,1.3,1.0,0.946875,1.0,40
full,Full LGM-GAME,season,12,0.75,1.0,1.0,0.8708333333333332,1.275,0.9982142857142857,0.946875,0.9986849948894925,40
full,Full LGM-GAME,weather,12,0.775,1.0,1.0,0.8833333333333334,1.25,0.9983333333333334,0.94375,0.9987726618968595,40
full,Full LGM-GAME,illumination,12,0.7,1.0,1.0,0.8375,1.375,1.0,0.953125,1.0,40
full,Full LGM-GAME,sensor,12,0.75,1.0,1.0,0.8625,1.325,0.9965476190476192,0.9546875,0.9974576567863519,40
full,Full LGM-GAME,partial,12,0.725,1.0,1.0,0.85625,1.325,0.9983333333333334,0.95,0.9987726618968595,40
