method,label,split,pool_size,recall@1,recall@5,recall@10,mrr,mean_rank,match_precision,match_coverage,spatial_consistency,queries
appearance,Appearance,season,5,0.65,1.0,1.0,0.8208333333333332,1.375,0.4046875,1.0,0.5677196962666897,40
game,GAME-Style,season,5,0.85,1.0,1.0,0.925,1.15,0.9807858807858807,0.865625,0.9865157833842332,40
full,Full LGM-GAME,season,5,0.85,1.0,1.0,0.925,1.15,0.9982142857142857,0.946875,0.9986849948894925,40
appearance,Appearance,season,10,0.475,1.0,1.0,0.7,1.775,0.4046875,1.0,0.5677196962666897,40
game,GAME-Style,season,10,0.825,1.0,1.0,0.9083333333333332,1.2,0.9807858807858807,0.865625,0.9865157833842332,40
full,Full LGM-GAME,season,10,0.775,1.0,1.0,0.8833333333333332,1.25,0.9982142857142857,0.946875,0.9986849948894925,40
appearance,Appearance,season,15,0.425,1.0,1.0,0.6495833333333334,2.05,0.4046875,1.0,0.5677196962666897,40
game,GAME-Style,season,15,0.75,1.0,1.0,0.8666666666666666,1.3,0.9807858807858807,0.865625,0.9865157833842332,40
full,Full LGM-GAME,season,15,0.75,1.0,1.0,0.8708333333333332,1.275,0.9982142857142857,0.946875,0.9986849948894925,40
appearance,Appearance,season,20,0.425,1.0,1.0,0.6495833333333334,2.05,0.4046875,1.0,0.5677196962666897,40
game,GAME-Style,season,20,0.75,1.0,1.0,0.8666666666666666,1.3,0.9807858807858807,0.865625,0.9865157833842332,40
full,Full LGM-GAME,season,20,0.75,1.0,1.0,0.8708333333333332,1.275,0.9982142857142857,0.946875,0.9986849948894925,40
